@relation children

@attribute class {5,6,7,8,9}
@attribute sex {1,0}
@attribute RPG {1,0}
@attribute quest {1,0}
@attribute shooter {1,0}
@attribute arcade {1,0}
@attribute stratigy {1,0}
@attribute simulator {1,0}
@attribute logical {1,0}
@attribute online {1,0}
@attribute games {1,0}
@attribute gameHours numeric
@attribute sosialHours numeric
@attribute sosial {1,0}
@attribute video {1,0}
@attribute information {1,0}
@attribute news {1,0}
@attribute music {1,0}
@attribute films {1,0}
@attribute onlineHours numeric
@attribute totalHours numeric
@attribute azExtravers numeric
@attribute azNeirotizm numeric
@attribute VND {сангвиник, холерик, меланхолик, флегматик}
@attribute spSituation numeric
@attribute spPersonal numeric
@attribute dminL numeric
@attribute dmaxL numeric
@attribute drashL numeric
@attribute dminR numeric
@attribute dmaxR numeric
@attribute drashR numeric
@attribute min {1,0}
@attribute max {1,0}
@attribute rash {1,0}
@attribute red+ numeric
@attribute green+ numeric
@attribute blue+ numeric
@attribute red- numeric
@attribute green- numeric
@attribute blue- numeric
@attribute red {1,0}
@attribute green {1,0}
@attribute blue {1,0}
@attribute mark numeric
@attribute sleepHours numeric
@attribute hardtofall {1,0}
@attribute hardtoawake {1,0}
@attribute enoughsleep {1,0}
@attribute awakeatnight {1,0}
@attribute insomnia {1,0}

@data
9,1,0,0,1,0,0,0,0,0,1,14,21,1,0,0,0,1,1,4.5,39.5,11,12,флегматик,40,39,138,483,1288,92,460,1587,0,0,1,4,5,3,0,0,0,0,1,0,3.6,8,0,1,1,0,0
9,0,0,0,0,0,0,0,0,0,0,0,39,1,1,1,1,1,1,59,98,11,12,флегматик,43,56,207,805,2116,138,437,1633,0,0,0,8,18,15,2,11,10,0,1,0,4.4,7,0,0,0,0,0
9,1,0,0,1,0,1,0,0,1,1,16,10,1,0,1,1,0,0,60.5,86.5,11,15,меланхолик,40,40,69,414,1150,184,644,2254,1,1,1,7,16,15,1,2,10,0,1,0,4.1,7,0,1,1,0,0
9,1,0,0,1,1,0,1,0,0,1,21,14,1,0,0,0,0,1,28,63,10,11,флегматик,52,52,207,667,2024,138,667,1725,0,1,0,6,15,15,1,4,10,0,1,1,3.7,10,0,1,1,0,0
6,1,0,0,0,1,0,1,0,1,1,7.5,0,0,1,0,0,1,1,9,16.5,15,12,сангвиник,35,28,337,1050,2568,491,1089,2622,1,1,0,17,28,24,11,17,16,0,1,0,3.4,7,0,1,1,0,0
6,1,0,1,1,0,1,0,0,1,1,56,19.6,1,0,1,1,1,1,22.96,98.56,15,18,холерик,40,?,552,989,2967,437,1449,4313,0,1,0,10,22,18,4,9,10,0,1,0,3.7,?,?,?,?,?,?
6,0,0,0,0,0,0,0,1,1,1,8.75,0,0,1,0,0,0,0,5.25,14,18,13,сангвиник,37,40,253,767,3220,368,805,2990,1,1,1,12,21,20,6,12,12,0,1,0,3.5,?,?,?,?,?,?
6,0,0,0,0,1,0,0,0,1,1,28,3.5,1,1,1,0,1,1,73.5,105,10,15,меланхолик,63,46,242,1012,2818,242,782,3416,0,0,0,12,21,24,5,22,15,0,0,1,4.3,9,1,0,1,0,0
7,1,0,0,1,0,0,0,0,0,1,21,14,1,0,0,0,0,0,0,35,18,7,сангвиник,33,38,376,889,3197,399,874,2975,1,0,1,8,10,9,6,8,6,0,1,0,3.3,7.5,1,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,31.85,1,1,1,1,1,1,49.56,81.41,19,15,холерик,38,44,311,725,3669,368,713,3074,1,0,1,5,17,16,1,13,7,0,1,0,4.1,7,0,1,1,0,0
7,1,0,0,1,0,0,1,0,1,1,35,14,1,1,1,0,1,1,70,119,17,13,сангвиник,43,40,245,751,3450,284,721,3557,1,0,0,8,18,22,3,13,9,0,0,1,4.4,7.5,0,0,0,0,0
7,0,0,0,0,0,0,0,1,1,1,11.9,3.5,1,0,1,0,0,0,2.1,17.5,8,17,меланхолик,46,56,414,805,3197,598,1012,2714,1,1,1,13,14,17,8,10,16,0,0,1,4.3,9,0,0,1,0,0
7,1,1,1,1,0,1,0,0,1,1,63,28,1,1,0,0,0,0,7,98,21,7,сангвиник,33,32,276,690,3565,322,698,3504,1,1,1,8,16,15,4,15,13,0,1,0,3.6,6,0,0,1,0,0
7,0,0,0,0,1,0,1,1,0,1,10.5,7,1,0,0,0,0,0,0,17.5,17,17,холерик,44,50,222,751,5152,376,866,3442,1,1,1,7,16,20,4,13,14,0,0,1,4.2,9,1,1,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,10.5,1,1,1,0,0,0,3.29,13.79,14,18,холерик,50,53,245,797,2055,337,989,2124,1,1,0,14,26,23,5,17,19,0,1,0,4,7,1,1,0,0,1
7,0,0,0,0,0,0,1,0,0,1,3.5,8.19,1,0,1,1,1,1,28,39.69,18,12,сангвиник,45,37,299,882,2775,360,820,2515,1,0,1,8,18,17,6,11,10,0,1,0,3.9,?,?,?,?,?,?
7,0,0,0,0,0,0,0,0,0,0,0,7.56,1,0,0,0,0,0,0,7.56,18,9,сангвиник,24,34,353,836,2492,337,859,2346,0,1,1,13,24,24,5,17,14,0,1,1,4.8,7,0,0,1,0,0
7,1,0,0,1,0,0,0,0,0,1,28,15.75,1,0,0,0,1,0,3.5,47.25,13,23,холерик,33,42,429,1127,2530,452,1181,2591,1,1,0,6,15,14,3,13,6,0,1,0,3.4,6,0,1,0,0,1
7,0,0,0,0,0,0,0,1,1,1,14.7,12.25,1,0,1,0,1,1,42,68.95,8,23,меланхолик,50,62,330,905,2239,445,989,2292,1,1,0,9,20,20,1,12,8,0,1,1,3.4,9,0,1,1,0,0
7,1,0,0,0,0,0,0,0,0,0,0,21,1,1,0,0,1,0,8.19,29.19,18,15,холерик,36,36,391,748,3289,391,905,3818,0,1,0,15,20,21,9,17,14,0,0,1,3.9,8.5,0,0,1,1,0
7,0,0,0,0,0,0,0,0,0,1,3.5,31.5,1,0,1,0,1,1,66.5,101.5,17,22,холерик,45,46,368,767,3634,406,782,3649,1,1,0,8,21,20,6,16,13,0,1,0,4.4,9,0,1,1,0,0
7,1,1,0,1,0,0,0,0,1,1,33.25,14,1,1,1,0,0,0,7.63,54.88,17,7,сангвиник,28,30,337,782,2967,406,805,2798,1,1,1,12,20,20,5,15,16,0,1,1,5,?,?,?,?,?,?
7,1,0,0,1,0,0,1,0,1,1,45.5,35.56,1,0,1,0,1,0,4.69,85.75,22,4,сангвиник,24,30,314,767,3312,360,920,3097,1,1,1,4,3,6,2,0,0,0,0,1,3.9,?,?,?,?,?,?
7,0,0,0,0,0,0,1,0,0,1,5.88,14,1,0,0,0,1,0,3.5,23.38,21,19,холерик,33,36,368,943,2921,391,874,3209,1,0,0,13,21,26,6,13,14,0,0,1,3.9,9,0,1,1,0,0
7,0,0,0,0,0,0,0,0,1,1,5.25,18.69,0,1,0,1,1,1,20,43.94,17,11,сангвиник,36,42,146,797,2539,153,782,2837,1,0,0,6,16,18,3,9,10,0,0,1,3.2,8,0,0,0,0,0
7,0,0,0,1,0,0,1,0,1,1,45.5,20,1,1,1,0,1,1,22,87.5,11,13,флегматик,57,48,196,656,2690,161,690,2829,0,1,0,4,14,5,0,12,3,0,1,0,4.3,7,1,0,1,0,0
8,1,0,0,1,0,0,0,0,1,1,35,14.7,0,0,1,0,1,0,17.5,67.2,19,9,сангвиник,38,38,307,805,2844,311,736,2289,1,0,1,6,8,5,5,10,2,0,1,0,3.2,7.5,0,1,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,38.64,0,0,1,0,1,0,4.2,42.84,18,13,сангвиник,48,38,299,920,2634,219,840,2749,0,0,0,6,14,14,3,10,6,0,1,1,4.2,7,0,1,0,0,0
8,1,0,0,0,0,0,0,0,0,0,0,28,0,0,1,1,1,1,4.9,32.9,14,16,холерик,71,55,245,820,3389,268,805,2998,1,0,1,10,9,6,5,2,3,1,0,0,4.3,5.5,0,1,0,0,0
8,0,0,0,0,0,0,1,1,0,1,24.5,9.8,1,0,1,0,0,1,17.5,51.8,6,15,меланхолик,46,55,345,851,2300,357,1012,2783,1,1,0,6,20,22,2,16,14,0,0,1,4.2,9,0,1,0,0,0
8,1,1,0,0,0,1,0,0,1,1,57.75,13.44,0,0,1,0,1,1,33.25,104.44,14,5,сангвиник,36,35,219,621,3213,276,644,2714,1,1,1,3,11,12,2,10,8,0,0,1,3.3,7,0,1,0,0,0
8,0,0,1,0,1,0,1,1,0,1,16.38,12.25,0,1,1,0,1,1,15.54,44.17,20,13,сангвиник,48,47,161,713,2921,127,782,2887,0,1,1,5,7,13,4,7,13,0,0,1,4,10,1,1,0,1,0
8,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,1,10.5,28,12,20,холерик,57,55,215,828,2782,242,828,2818,1,0,0,7,20,17,4,13,12,0,1,0,3.6,8,1,0,1,0,0
8,0,0,0,0,0,0,1,0,1,1,14,91,1,1,1,1,1,1,91,196,15,18,холерик,43,44,138,705,3205,173,886,2956,1,1,1,7,15,13,4,8,7,0,1,0,3.6,9,1,1,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,18.55,0,0,1,0,1,1,42,60.55,21,9,сангвиник,29,31,153,583,1909,161,621,2415,1,1,0,8,20,19,3,12,11,0,1,0,5,7,1,0,0,0,0
