@relation children

@attribute class numeric
@attribute sex {1,0}
@attribute RPG {1,0}
@attribute shooter {1,0}
@attribute fighting {1,0}
@attribute stratigy {1,0}
@attribute simulator {1,0}
@attribute logical {1,0}
@attribute gameHours numeric
@attribute sosialHours numeric
@attribute films {1,0}
@attribute music {1,0}
@attribute information {1,0}
@attribute documents {1,0}
@attribute onlineHours numeric
@attribute totalHours numeric
@attribute azExtravers numeric
@attribute azNeirotizm numeric
@attribute azLie numeric
@attribute VND {сангвиник, холерик, меланхолик, флегматик}
@attribute spSituation numeric
@attribute spPersonal numeric
@attribute dminL numeric
@attribute dmaxL numeric
@attribute drashL numeric
@attribute dminR numeric
@attribute dmaxR numeric
@attribute drashR numeric
@attribute Amin numeric
@attribute Amax numeric
@attribute Arash numeric
@attribute Acommon numeric
@attribute WR numeric
@attribute WL numeric
@attribute AsW numeric
@attribute min {1,0}
@attribute max {1,0}
@attribute rash {1,0}
@attribute W {1,0}
@attribute red numeric
@attribute green numeric
@attribute blue numeric
@attribute difficit {1,0}
@attribute mark numeric
@attribute sleepHours numeric
@attribute hardtofall {1,0}
@attribute hardtoawake {1,0}
@attribute enoughsleep {1,0}
@attribute awakeatnight {1,0}
@attribute insomnia {1,0}

@data
6,1,1,0,0,0,0,0,18.5,3.5,0,1,1,1,1,23,6,20,3,меланхолик,56,56,?,?,?,322,874,3473,?,?,?,?,?,3595.732,?,?,?,?,?,4,10,4,0,5,?,?,?,?,?,?
6,0,0,0,0,0,1,0,17,0,0,1,1,1,21,38,17,24,2,холерик,54,48,299,759,1886,184,736,2208,-0.238,-0.015,0.079,0.251,2054.867,2334.698,0.064,0,1,1,1,9,9,7,1,4.67,?,?,?,?,?,?
7,0,0,0,0,0,0,0,5.25,18.69,1,1,0,1,38.85,62.79,17,11,4,сангвиник,36,42,145.667,797.333,2538.667,153.333,782,2836.667,0.026,-0.01,-0.055,0.062,2946.475,2664.918,281.557,1,0,0,0,6,16,18,0,3.23,8,0,0,0,0,0
7,0,0,1,0,0,1,0,45.5,20.9,1,1,1,1,25.75,92.15,11,13,0,флегматик,57,48,195.5,655.5,2689.5,161,690,2829,-0.097,0.026,-0.025,0.103,2916.378,2775.124,141.255,0,1,0,0,4,14,5,0,4.27,7,1,0,1,0,0
8,1,0,1,0,0,0,0,35,14.7,0,1,1,0,17.5,67.2,19,9,5,сангвиник,38,38,306.667,805,2844.333,310.5,736,2288.5,0.006,-0.045,0.108,0.117,2423.91,2971.919,-548.009,1,0,1,1,6,8,5,1,3.18,7.5,0,1,0,0,0
8,0,0,0,0,0,0,0,0,38.64,0,1,1,0,42,80.64,18,13,5,сангвиник,48,38,299,920,2633.5,218.5,839.5,2748.5,-0.156,-0.046,-0.021,0.164,2882.144,2805.552,76.592,0,0,0,0,6,14,14,0,4.21,7,0,1,0,0,0
8,1,0,0,0,0,0,0,0,28,1,1,1,1,49,77,14,16,6,холерик,71,55,245.333,820.333,3388.667,268.333,805,2997.667,0.045,-0.009,0.061,0.076,3115.451,3495.168,-379.717,1,0,1,1,10,9,6,0,4.32,5.5,0,1,0,0,0
8,0,0,0,0,0,1,1,24.5,98,1,0,1,0,17.5,140,6,15,5,меланхолик,46,55,345,851,2300,356.5,1012,2783,0.016,0.086,-0.095,0.129,2982.671,2476.535,506.136,1,1,0,1,6,20,22,0,4.25,9,0,1,0,0,0
8,1,1,0,0,1,0,0,57.75,13.44,1,1,1,1,33.25,104.44,14,5,1,сангвиник,36,35,218.5,621,3212.5,276,644,2714,0.116,0.018,0.084,0.145,2802.982,3279.259,-476.277,1,1,1,1,3,11,12,0,3.28,7,0,1,0,0,0
8,0,0,0,1,0,1,1,16.38,12.25,1,1,1,0,15.54,44.17,20,13,6,сангвиник,48,47,161,713,2921,126.5,782,2886.5,-0.12,0.046,0.006,0.129,2993.227,3011.068,-17.841,0,1,1,1,5,7,13,0,4.01,10,1,1,0,1,0
